Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Terre des Hommes Netherlands,NL-KVK-41149287,International NGO,Netherlands,1,https://iatiregistry.org/publisher/tdh_nl
Wellfound,GB-CHC-1110434,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/wellfound
Stichting Vluchteling,NL-KVK-41149486,International NGO,Netherlands,2,https://iatiregistry.org/publisher/st_vluchteling
Zing,GB-CHC-1133342,Foundation,United Kingdom,1,https://iatiregistry.org/publisher/zing
ZOA,NL-KVK-41009723,International NGO,Netherlands,2,https://iatiregistry.org/publisher/zoa
Stichting Onderzoek Multinationale Ondernemingen (SOMO),NL-KVK-41223308,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/somo
WYG International B.V.,NL-KVK-06702132,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/wygi
Itad,GB-COH-1869600,Private Sector,United Kingdom,9,https://iatiregistry.org/publisher/itad
Oxford Policy Management,GB-COH-03122495,Private Sector,United Kingdom,3,https://iatiregistry.org/publisher/opml
Upper Quartile,GB-COH-SC301345,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/uq
International Procurement Agency,NL-KVK-32037590,Private Sector,Netherlands,6,https://iatiregistry.org/publisher/ipa
Cadmus International UK Limited,GB-COH-02768268,Private Sector,United Kingdom,8,https://iatiregistry.org/publisher/nathan
Alcis Holdings Limited,GB-COH-5155300,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/alcis
Ajuda de Desenvolvimento de Povo para Povo (ADPP),mz-moj-64vq1,National NGO,Mozambique,1,https://iatiregistry.org/publisher/adpp
Palladium International Ltd (UK),GB-COH-2394229,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/palladium
Plan International Finland,FI-PRO-1498487-2,International NGO,Finland,1,https://iatiregistry.org/publisher/planinternationalfinland
Rutgers,NL-KVK-41193594,International NGO,Netherlands,2,https://iatiregistry.org/publisher/rutgers
Maxwell Stamp PLC,GB-COH-00637978,Private Sector,United Kingdom,5,https://iatiregistry.org/publisher/mstamp
African Academy of Sciences,KE-NCB-218-051-9341-334,International NGO,Kenya,2,https://iatiregistry.org/publisher/aas
LAMB Health Care Foundation,GB-CHC-1101217,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/lhcf
PwC,GB-COH-03580586,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/pwc
Link Community Development International,GB-CHC-1048007,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/lcdi_admin
The Convention on Business Integrity,NG-CAC-RC481360,International NGO,Nigeria,1,https://iatiregistry.org/publisher/cbi-nigeria
Landell Mills,GB-COH-1574821,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/landell-mills
"Natural Resources Institute, University of Greenwich.",GB-COH-00986729,"Academic, Training and Research",United Kingdom,11,https://iatiregistry.org/publisher/nri
War Child Netherlands,NL-KVK-41215393,International NGO,Netherlands,2,https://iatiregistry.org/publisher/warchildholland
Atos IT Services Ltd,GB-COH-01245534,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/atosuk
CARE Nederland,NL-KVK-41158230,International NGO,Netherlands,2,https://iatiregistry.org/publisher/carenederland
IOD PARC,GB-COH-03613839,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/iodparc
Clean Clothes Campaign,NL-KVK-41210820,International NGO,Netherlands,2,https://iatiregistry.org/publisher/ccc
McKinsey & Company,GB-COH-FC012665,Private Sector,(No country assigned),7,https://iatiregistry.org/publisher/mck
Aktis Strategy Ltd,GB-COH-08327972,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/aktis
Dorcas Aid International,NL-KVK-41236410,International NGO,Netherlands,2,https://iatiregistry.org/publisher/dai
Millennium Challenge Corporation,US-GOV-18,Government,United States,52,https://iatiregistry.org/publisher/millenniumchallenge
Mama Cash,NL-KVK-41202535,Foundation,Netherlands,2,https://iatiregistry.org/publisher/mamac
Simprints,GB-COH-8835431,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/simprints
Water Works,GB-CHC-1158206,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/waterworks
PAX,NL-KVK-30214009,International NGO,Netherlands,13,https://iatiregistry.org/publisher/pax
DECP,NL-KVK-27284008,National NGO,Netherlands,3,https://iatiregistry.org/publisher/decp
Urgent Action Fund Latin America and the Caribbean,CO-CCB-00159397,Regional NGO,Colombia,2,https://iatiregistry.org/publisher/uafla
Urgent Action Fund for Women's Human Rights,US-EIN-03-0419743,International NGO,United States,2,https://iatiregistry.org/publisher/uaf
TEAR fund Nederland,NL-KVK-41177385,National NGO,Netherlands,11,https://iatiregistry.org/publisher/tear
SNV Netherlands Development Organisation,NL-KVK-41152786,International NGO,Netherlands,2,https://iatiregistry.org/publisher/snv
Stichting Kinderpostzegels Nederland,NL-KVK-41167934,International NGO,Netherlands,1,https://iatiregistry.org/publisher/skn
Just Associates,US-EIN-06-1597-668,International NGO,United States,2,https://iatiregistry.org/publisher/jass
Fight Hunger Foundation,IN-MHA-083781496,National NGO,India,1,https://iatiregistry.org/publisher/fhf
Association for Women's Rights in Development (AWID),US-EIN-521291786,International NGO,United States,2,https://iatiregistry.org/publisher/awid
World Vision Netherlands,NL-KVK-41179943,Foundation,Netherlands,2,https://iatiregistry.org/publisher/wvnld
Save the Children Netherlands,NL-KVK-41201463,International NGO,Netherlands,39,https://iatiregistry.org/publisher/scnl
IRC,NL-KVK-41151952,International NGO,Netherlands,1,https://iatiregistry.org/publisher/irc
United Nations Central Emergency Response Fund (CERF),XM-OCHA-CERF,Multilateral,United States,21,https://iatiregistry.org/publisher/cerf
AWEPA,NL-KVK-34106722,International NGO,Netherlands,2,https://iatiregistry.org/publisher/awepa
Simavi,NL-KVK-40594571,Foundation,Netherlands,3,https://iatiregistry.org/publisher/simavi
Stichting Woord en Daad,NL-KVK-41118168,International NGO,Netherlands,2,https://iatiregistry.org/publisher/w-d
Plan International Netherlands,NL-KVK-41198890,International NGO,Netherlands,2,https://iatiregistry.org/publisher/plannlno
The OPEC Fund for International Development (OFID),XI-IATI-OFID,Multilateral,Austria,1,https://iatiregistry.org/publisher/ofid
The Commonwealth Secretariat,XI-IATI-CWSEC,Multilateral,(No country assigned),9,https://iatiregistry.org/publisher/commonwealthsecretariat
Wemos Foundation,NL-KVK-41201644,International NGO,Netherlands,3,https://iatiregistry.org/publisher/wemos
Promundo-US,US-EIN-26-1931968,International NGO,United States,5,https://iatiregistry.org/publisher/pmo-us
Royal Tropical Institute,NL-KVK-33185213,International NGO,Netherlands,2,https://iatiregistry.org/publisher/kit
Stichting Health Action International,NL-KVK-41207580,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hai
Fondo Centroamericano de Mujeres,NI-MIGOB-3602,Foundation,Nicaragua,2,https://iatiregistry.org/publisher/fcam
UTZ,NL-KVK-34159275,International NGO,Netherlands,2,https://iatiregistry.org/publisher/utz
Aidsfonds - Soa Aids Nederland,NL-KVK-41207989,International NGO,Netherlands,3,https://iatiregistry.org/publisher/nl-kvk-41207989
African Centre for Global Health and Social Transformation,UG-RSB-73316,International NGO,Uganda,2,https://iatiregistry.org/publisher/achest
Family Aids Caring Trust,ZW-PVO-WO1789,National NGO,Zimbabwe,2,https://iatiregistry.org/publisher/fact
Liverpool School of Tropical Medicine,GB-CHC-222655,"Academic, Training and Research",United Kingdom,6,https://iatiregistry.org/publisher/lstm
Urgent Action Fund-Africa,KE-NCB-200201282375,Regional NGO,Kenya,2,https://iatiregistry.org/publisher/uaf-africa
Aeras,US-EIN-522044704,International NGO,United States,2,https://iatiregistry.org/publisher/aeras
ColaLife,GB-CHC-1142516,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/colalife
International Development Law Organization (IDLO),XM-DAC-47059,Multilateral,Italy,2,https://iatiregistry.org/publisher/idlo
Mensen met een Missie,NL-KVK-41149831,National NGO,Netherlands,3,https://iatiregistry.org/publisher/mm1
Netherlands Food Partnership,NL-KVK-30204842,Foundation,Netherlands,1,https://iatiregistry.org/publisher/nfp
Defence for Children International Netherlands - ECPAT Netherlands,NL-KVK-41208813,National NGO,Netherlands,21,https://iatiregistry.org/publisher/dciecpatnl
International Labour Organization (ILO),XM-DAC-41302,Multilateral,Switzerland,12,https://iatiregistry.org/publisher/ilo
Netherlands Institute for Multiparty Democracy (NIMD),NL-KVK-27189542,International NGO,Netherlands,3,https://iatiregistry.org/publisher/nimd-hq
Milieudefensie,NL-KVK-40530467,National NGO,Netherlands,2,https://iatiregistry.org/publisher/foenl
Friends of Publish What You Fund,US-EIN-47-4128047,International NGO,United States,2,https://iatiregistry.org/publisher/friendsofpwyf
Bangladesh Primary Care Respiratory Society,BD-ROC-S-12313,"Academic, Training and Research",Bangladesh,2,https://iatiregistry.org/publisher/bpcrs
Healthy Entrepreneurs Foundation,NL-KVK-58183167,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hefoundation
Amref Health Africa in Kenya,KE-NCB-93175,International NGO,Kenya,2,https://iatiregistry.org/publisher/amrefkenya
Solidaridad Europe,NL-KVK-41150939,International NGO,Netherlands,2,https://iatiregistry.org/publisher/solidaridad-europe
The Uganda Association of Women Lawyers ( FIDA Uganda),UG-RSB-29587,National NGO,Uganda,1,https://iatiregistry.org/publisher/fidauganda
CREA,US-EIN-31-1812979,International NGO,India,2,https://iatiregistry.org/publisher/creausa-org
Free Press Unlimited,NL-KVK-52957535,International NGO,Netherlands,2,https://iatiregistry.org/publisher/free_press_unlimited
WASTE advisers on urban environment and development,NL-KVK-41172933,Foundation,Netherlands,3,https://iatiregistry.org/publisher/waste
SECOURS CATHOLIQUE - CARITAS FRANCE,FR-SIRET-77566669600015,International NGO,France,3,https://iatiregistry.org/publisher/sccf
Disasters Emergency Committee,GB-CHC-1062638,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/dec-uk
Peace Brigades International,US-EIN-91-1179750,International NGO,United States,1,https://iatiregistry.org/publisher/pbi_io
Netherlands Red Cross,NL-KVK-40409352,International NGO,Netherlands,2,https://iatiregistry.org/publisher/nlrc
International Climate Initiative / BMU - IKI Secretariat,XI-IATI-IKI,Government,Germany,1,https://iatiregistry.org/publisher/bmu_iki
Solidaridad,NL-KVK-51756811,International NGO,Netherlands,2,https://iatiregistry.org/publisher/solidaridad
Fair Wear Foundation,NL-KVK-34111374,International NGO,Netherlands,2,https://iatiregistry.org/publisher/fwf
Amnesty International The Netherlands,NL-KVK-40530953,International NGO,Netherlands,2,https://iatiregistry.org/publisher/amnesty
Mondiaal FNV (Stichting),NL-KvK-41177601,National NGO,Netherlands,2,https://iatiregistry.org/publisher/mondiaalfnv
WNF Wereld Natuur Fonds,NL-KVK-41177588,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wnf
International Women's Development Agency,AU-ACNC-19242959685,International NGO,Australia,3,https://iatiregistry.org/publisher/iwda
IUCN Nederlands Comité,NL-KVK-41180885,International NGO,Netherlands,2,https://iatiregistry.org/publisher/iucn_nl
Tropenbos International,NL-KVK-41155305,International NGO,Netherlands,2,https://iatiregistry.org/publisher/tbi
Sonke Gender Justice,ZA-PBO-064-502,International NGO,South Africa,2,https://iatiregistry.org/publisher/sjg
Red Cross Red Crescent Climate Centre,NL-KVK-27267681,International NGO,Netherlands,1,https://iatiregistry.org/publisher/climate_centre
Wetlands International,NL-KVK-9099028,International NGO,(No country assigned),3,https://iatiregistry.org/publisher/wi
Acid Survivors Foundation,PK-VSWA-511-2007,National NGO,Pakistan,1,https://iatiregistry.org/publisher/_admin
CNV Internationaal,NL-KVK-54436222,National NGO,Netherlands,7,https://iatiregistry.org/publisher/nl-kvk-54436222-27541
AECOM,GB-COH-01846493,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/aecom
READ Foundation,GB-CHC-1160256,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/read-foundation
Institute of Tropical Medicine,BE-BCE_KBO-0410057701,Other Public Sector,Belgium,3,https://iatiregistry.org/publisher/itm
GALZ,ZW-ROD-2172,National NGO,Zimbabwe,1,https://iatiregistry.org/publisher/galz
Belgian development agency (Enabel),BE-BCE_KBO-0264814354,Government,Belgium,4,https://iatiregistry.org/publisher/enabel
Centre for Economic Policy Research,GB-CHC-287287,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/cepr
SOS Children's Villages The Netherlands,NL-KVK-41197577,Foundation,Netherlands,2,https://iatiregistry.org/publisher/sosnl
HealthNet TPO,NL-KVK-41211943,International NGO,Netherlands,2,https://iatiregistry.org/publisher/healthnet
marysmeals,GB-SC-SCO45223,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/marysmeals
Afghanistan Public Policy Research Organization (APPRO),AF-MOE-1212,"Academic, Training and Research",Afghanistan,2,https://iatiregistry.org/publisher/appro-af
MannionDaniels,GB-COH-04105827,Private Sector,United Kingdom,5,https://iatiregistry.org/publisher/manniondaniels
APPRO-Europe,BE-GTCF-630789842,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/appro-eu
VNG International,NL-KVK-27195046,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/vngi
Amref Health Africa Headquarters,KE-RCO-C1-61,International NGO,Kenya,2,https://iatiregistry.org/publisher/amrefhq
Wageningen University & Research - Stichting Wageningen Research,NL-KVK-09098104,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/wageningen_ur
FMO,NL-KVK-27078545,Public Private Partnership,Netherlands,1,https://iatiregistry.org/publisher/fmo
Social Development Direct Limited,GB-COH-03846881,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/sddirect
CABI,XI-IATI-CABI,Multilateral,(No country assigned),12,https://iatiregistry.org/publisher/cabi
BSR,US-EIN-52-1764268,International NGO,United States,4,https://iatiregistry.org/publisher/bsr_admin
Satellite Applications Catapult Ltd,GB-COH-07964746,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/satelliteapplicationscatapultltd
MedAccess Guarantee Limited,GB-COH-11080032,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/medaccess
COC Nederland,NL-KVK-40530156,National NGO,Netherlands,2,https://iatiregistry.org/publisher/cocnl_publisher
European Journalism Centre,NL-KVK-41078390,National NGO,Netherlands,2,https://iatiregistry.org/publisher/ejc
Republic of Korea,KR-GOV-010,Government,Korea (Republic of),54,https://iatiregistry.org/publisher/odakorea
Amref Health Africa in Ethiopia,ET-MFA-0001989741,International NGO,Ethiopia,2,https://iatiregistry.org/publisher/amrefeth
IMC WORLDWIDE,GB-COH-02651349,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/imcw_admin
IPE Global Limited,IN-MCA-U74140DL1998PLC097579,Private Sector,India,1,https://iatiregistry.org/publisher/ipeglobal
Royal National Lifeboat Institution (RNLI),GB-CHC-209603,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/rnli_international
Cardno Emerging Markets,GB-COH-05543952,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/cardnoem
Amref Health Africa Malawi,MW-NBM-R1527,National NGO,Malawi,2,https://iatiregistry.org/publisher/amrefmw
WASH Alliance International,XI-IATI-WAI,International NGO,Netherlands,2,https://iatiregistry.org/publisher/wai
Stakeholder Democracy Network,GB-CHC-1148143,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/sdn
Sound Seekers Limited,GB-COH-04354941,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/soundseekers
One Acre Fund,US-DOS-64562614,International NGO,(No country assigned),2,https://iatiregistry.org/publisher/oneacrefund
Baylor College of Medicine Children's Foundation Malawi,MW-CNM-BCM-CF,National NGO,Malawi,2,https://iatiregistry.org/publisher/bcm-cf
Amref Health Africa in Uganda,UG-NGB-5914-252,National NGO,Uganda,2,https://iatiregistry.org/publisher/amrefug
ODI Global,GB-CHC-228248,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/odi
"IDH, the Sustainable Trade Initiative",NL-KVK-53521129,International NGO,Netherlands,2,https://iatiregistry.org/publisher/idh
Youth Net and Counselling - YONECO,MW-CNM-C076-1999,National NGO,Malawi,2,https://iatiregistry.org/publisher/yoneco1997
Ministry of Foreign and European Affairs of the Slovak Republic,XM-DAC-69-1,Government,Slovakia,2,https://iatiregistry.org/publisher/slovakaid
Omidyar Network Fund Inc.,US-EIN-20-1173866,Foundation,United States,2,https://iatiregistry.org/publisher/omidyarnetwork
Cowater International Inc,CA-CRA_ACR-101182509,Private Sector,Canada,2,https://iatiregistry.org/publisher/cowater
Natural Justice,ZA-NPO-057-611,Regional NGO,South Africa,2,https://iatiregistry.org/publisher/nj_1
Caritas Finland,FI-PRO-139407,National NGO,Finland,3,https://iatiregistry.org/publisher/caritasfin
International Finance Corporation,XM-DAC-903,Multilateral,United States,161,https://iatiregistry.org/publisher/ifcwbg
IntraHealth International,US-EIN-550825466,International NGO,United States,2,https://iatiregistry.org/publisher/intrahealth
Stichting Mayday Rescue Foundation,NL-KVK-855689493,Foundation,Netherlands,3,https://iatiregistry.org/publisher/maydayrescue
International Network of People who Use Drugs (INPUD),GB-COH-08828458,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/inpud_admin
Global Alliance for TB Drug Development,US-EIN-13-4128413,"Academic, Training and Research",United States,1,https://iatiregistry.org/publisher/tb-a
Stichting Deltares,NL-KVK-41146461,Foundation,Netherlands,1,https://iatiregistry.org/publisher/deltares
Norwegian People's Aid,NO-BRC-871033552,International NGO,Norway,8,https://iatiregistry.org/publisher/npa
The Queen Elizabeth Diamond Jubilee Trust,GB-CHC-1145640,Foundation,United Kingdom,9,https://iatiregistry.org/publisher/qedjt
Orbis Africa,ZA-PBO-930040668,International NGO,South Africa,2,https://iatiregistry.org/publisher/orbis_africa
Enhanced Integrated Framework,XM-DAC-1409,Multilateral,Switzerland,2,https://iatiregistry.org/publisher/eif
openmindedly,IM-CR-024714B,Private Sector,Isle of Man,24,https://iatiregistry.org/publisher/openmindedly
Delivery Associates Ltd,GB-COH-08333641,Private Sector,United Kingdom,5,https://iatiregistry.org/publisher/delivery_associates
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),XM-DAC-41110,Multilateral,Switzerland,99,https://iatiregistry.org/publisher/unaids
Mainline,NL-KVK-41209946,Foundation,Netherlands,6,https://iatiregistry.org/publisher/mainline
LTS International Limited,GB-COH-SC100833,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/lts
Human Relief Foundation,GB-CHC-1126281,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hrf
International Initiative for Impact Evaluation,US-EIN-262681792,International NGO,United States,7,https://iatiregistry.org/publisher/3ie
Search for Common Ground (SFCG),BE-BCE_KBO-0453975341,International NGO,Belgium,3,https://iatiregistry.org/publisher/sfcg
The International Rescue Committee,US-EIN-13-5660870,International NGO,United States,2,https://iatiregistry.org/publisher/irc_inc
Burns Violence Survivors - Nepal,NP-SWC-27288,National NGO,Nepal,2,https://iatiregistry.org/publisher/bvs-nepal
Social Accountability International,US-EIN-13-3960591,International NGO,United States,1,https://iatiregistry.org/publisher/social_accountability_international
Women Peacemakers Program,NL-KVK-56083459,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wpp
Ecorys UK,GB-COH-01650169,Private Sector,United Kingdom,13,https://iatiregistry.org/publisher/ecuk
The Global Forum on MSM & HIV (MSMGF),US-EIN-471065461,International NGO,United States,1,https://iatiregistry.org/publisher/msmgf
Ipas,US-EIN-56-1071085,International NGO,United States,2,https://iatiregistry.org/publisher/ipas
Women Environmental Programme,NG-CAC-495140,National NGO,Nigeria,2,https://iatiregistry.org/publisher/wep
DanChurchAid,DK-CVR-36980214,International NGO,Denmark,2,https://iatiregistry.org/publisher/dca
Global Network of People Living with HIV (GNP+),NL-KVK-41214768,International NGO,Netherlands,2,https://iatiregistry.org/publisher/gnpplus
"World Wildlife Fund Inc, Bolivia Program Office",BO-NIT-1013209020,International NGO,Bolivia,1,https://iatiregistry.org/publisher/wwf_bolivia
Innovate UK KTN,GB-COH-08705643,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/ktn
Global Network of Sex Work Projects (NSWP),GB-COH-SC349355,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/nswp
Max Foundation,NL-KVK-34219433,Foundation,Netherlands,2,https://iatiregistry.org/publisher/max-foundation
INTERNATIONAL DISABILITY ALLIANCE,CH-FDJP-66029860165,International NGO,Switzerland,1,https://iatiregistry.org/publisher/ida
Disability Rights Advocacy Fund,US-EIN-27-5026463,International NGO,United States,2,https://iatiregistry.org/publisher/draf
Caritas Denmark,DK-CVR-29439915,National NGO,Denmark,2,https://iatiregistry.org/publisher/caritas_denmark
Win Win Strategies,NL-KVK-66926262,International NGO,Netherlands,2,https://iatiregistry.org/publisher/wws
DAI Global Health,GB-COH-03054929,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/healthpartners-international
BDO LLP,GB-COH-OC305127,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/bdo
World Economic Forum,US-EIN-203908371,International NGO,United States,2,https://iatiregistry.org/publisher/worldeconomicforum
International Treatment Preparedness Coalition (ITPC),BW-CIPA-CO20151011,International NGO,Botswana,5,https://iatiregistry.org/publisher/itpc
Amref Health Africa in Tanzania,TZ-BRLA-4368,International NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/amreftz
Women's Environment & Development Organization,US-EIN-52-1238773,International NGO,United States,2,https://iatiregistry.org/publisher/wedo
Siren Associates,GB-COH-NI630024,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/siren
Construction Sector Transparency Initiative (CoST),GB-COH-8159144,International NGO,(No country assigned),1,https://iatiregistry.org/publisher/cost_uk
Stichting RNW Media,NL-KVK-32022621,International NGO,Netherlands,1,https://iatiregistry.org/publisher/rnw_org
European Institute of Peace,BE-BCE_KBO-0550758080,Other Public Sector,Belgium,3,https://iatiregistry.org/publisher/eip
Atradius Dutch State Business,NL-KVK-33226495,Private Sector,Netherlands,2,https://iatiregistry.org/publisher/adsb
CIVICUS World Alliance for Citizen Participation,ZA-NPO-029-864,International NGO,South Africa,2,https://iatiregistry.org/publisher/civicus
Centre For Citizens With Disabilities,NG-CAC-IT-23286,National NGO,Nigeria,1,https://iatiregistry.org/publisher/ccdnigeria
UN Pooled Funds,XI-IATI-UNPF,Multilateral,(No country assigned),1,https://iatiregistry.org/publisher/unpf
ACT Alliance,CH-FDJP-66006990023,International NGO,Switzerland,2,https://iatiregistry.org/publisher/act_alliance
Kerk in Actie,NL-KVK-30258482,International NGO,Netherlands,1,https://iatiregistry.org/publisher/kerk_in_actie
International Network for Bamboo and Rattan (INBAR),XM-DAC-47064,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/inbar
Support Trust for Africa Development (STAD),NL-KVK-27251823,International NGO,Netherlands,1,https://iatiregistry.org/publisher/stad
Germany GIZ Non BMZ,XM-DAC-5-52,Other Public Sector,Germany,2,https://iatiregistry.org/publisher/giz
Ministère de l'Economie et des Finances du Bénin,XM-DAC-236,Government,Benin,2,https://iatiregistry.org/publisher/mefbenin
COWI,DK-CVR-44623528,Other Public Sector,Denmark,3,https://iatiregistry.org/publisher/cowi
AFEW International,NL-KVK-34148682,International NGO,Netherlands,1,https://iatiregistry.org/publisher/afewinternational
International Union for Conservation of Nature and Natural Resources,XM-DAC-30011,Other Public Sector,Switzerland,3,https://iatiregistry.org/publisher/iucn
Société Nationale des eaux du Bénin (SONEB),BJ-IFU-3200700033415,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/soneb-benin
Arab foundation for freedoms and equality,LB-MOI-18291,Regional NGO,Lebanon,1,https://iatiregistry.org/publisher/afemena
United States Agency for International Development (USAID),US-GOV-1,Government,United States,206,https://iatiregistry.org/publisher/usaid
Integrity Research and Consultancy Ltd,GB-COH-07321996,Private Sector,United Kingdom,8,https://iatiregistry.org/publisher/integrity
DCAF - Geneva Centre for Security Sector Governance,CH-FDJP-109458452,Foundation,Switzerland,7,https://iatiregistry.org/publisher/dcaf
Association for Progressive Communication,US-EIN-943287156,International NGO,United States,2,https://iatiregistry.org/publisher/apc
UHAI EASHRI,KE-RCO-201036685,Foundation,Kenya,2,https://iatiregistry.org/publisher/uhai-eashri
People in Need,CZ-ICO-25755277,International NGO,Czechia,1,https://iatiregistry.org/publisher/pin
Coalition of African Lesbians (CAL),ZA-NPO-060766,International NGO,South Africa,1,https://iatiregistry.org/publisher/cal_2000-pu
Trias,BE-BCE_KBO-0427736148,National NGO,Belgium,17,https://iatiregistry.org/publisher/trias
Trocaire,IE-CHY-20009601,International NGO,Ireland,2,https://iatiregistry.org/publisher/trocaire
Global Innovation Fund,GB-CHC-1171353,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/gif
ICF Consulting Services Ltd,GB-COH-04161656,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/icf
The National Association of Municipalities of Benin (ANCB),BJ-IFU-6201408024805,National NGO,Benin,3,https://iatiregistry.org/publisher/ancb_benin
Guttmacher Institute,US-EIN-13-2890727,International NGO,United States,2,https://iatiregistry.org/publisher/guttmacher
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,Multilateral,Italy,7,https://iatiregistry.org/publisher/fao
Medair,CH-FDJP-106064950,International NGO,Switzerland,2,https://iatiregistry.org/publisher/medair
Giro555 (Stichting Samenwerkende Hulporganisaties),NL-KVK-27302841,International NGO,Netherlands,2,https://iatiregistry.org/publisher/giro555
The British Academy,GB-COH-RC000053,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/thebritishacademy
World Health Organization (WHO),XM-DAC-928,Multilateral,Switzerland,184,https://iatiregistry.org/publisher/who
Girls Not Brides: The Global Partnership to End Child Marriage,GB-CHC-1154230,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/girlsnotbrides
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',NL-KVK-41152832,"Academic, Training and Research",Netherlands,3,https://iatiregistry.org/publisher/clingendael
PUM Netherlands,NL-KVK-41160229,International NGO,Netherlands,2,https://iatiregistry.org/publisher/pumnl
World Federalist Movement - Institute for Global Policy,NL-KVK-41153698,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wfm-igp
Meningitis Research Foundation,GB-CHC-1091105,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mrf
Women's Global Network on Reproductive Rights,PH-SEC-FN200806591,International NGO,Philippines,2,https://iatiregistry.org/publisher/wgnrr_iati
IDEO.org,US-EIN-27-3755556,International NGO,United States,2,https://iatiregistry.org/publisher/ideo_org
siiqqee Women's Development Association,ET-CSA-0081,National NGO,Ethiopia,2,https://iatiregistry.org/publisher/swda
World Economic Forum Geneva,CH-FDJP-66004229946,International NGO,Switzerland,1,https://iatiregistry.org/publisher/weforum_geneva
Caritas International (Belgium),BE-BCE_KBO-0410644946,National NGO,Belgium,8,https://iatiregistry.org/publisher/cibe
Helvetas Swiss Intercooperation,CH-FDJP-CHE105834763,International NGO,Switzerland,2,https://iatiregistry.org/publisher/hsi
MVO Nederland,NL-KVK-30195730,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/mvo_nederland
DNH Mali (Direction Nationale de l’Hydraulique du Mali),ML-NIF-400100027H,Government,Mali,3,https://iatiregistry.org/publisher/pca-gire
Near East Foundation (NEF USA),US-EIN-13-1624114,International NGO,United States,2,https://iatiregistry.org/publisher/nef_usa
The Carter Center,US-EIN-58-1454716,International NGO,United States,1,https://iatiregistry.org/publisher/carter-center
HiiL innovating Justice,NL-KVK-27290536,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hiil_mfa
Union of Agricultural Work Committees,PS-MOI-RA-22220-A,National NGO,"Palestine, State of",1,https://iatiregistry.org/publisher/uawc
